id	x	y	z	longitude	latitude
96728	16.02236576760475	-16.185818103991135	59.81056	-45.290766119183104	69.15395540020671
96741	19.087331489168967	-12.344226050367793	59.8272	-32.891698769675315	69.19585756041452
96749	13.678342590548286	-18.12136082699068	59.83744	-52.953811169978565	69.2216836397939
96762	17.216956746602364	-14.733143172426686	59.85408	-40.554743820470776	69.26371658335252
96775	19.94008223174066	-10.671926127603234	59.87072	-28.155676470962987	69.3058311340968
96783	15.051186680765662	-16.844358372438585	59.88096	-48.2177888712655	69.33178855933615
96796	18.281132455525192	-13.193851233947715	59.8976	-35.81872152175771	69.37403599561432
96817	16.306598783281004	-15.464524979794824	59.92448	-43.48176657255243	69.44245725109793
96830	19.208751760994105	-11.579550463213424	59.94112	-31.082699223044642	69.48492265718338
96838	14.053776232564548	-17.44493645031141	59.95136	-51.14481162334789	69.51109707188597
96851	17.436978267959976	-13.992525321852776	59.968	-38.7457442738401	69.55369888422085
96872	15.365589722963964	-16.14041592559325	59.99488	-46.40878932463562	69.62269726910925
96885	18.43568265219517	-12.439576859248497	60.01152	-34.00972197512789	69.66552287639252
96893	13.033549266883323	-17.98652050870666	60.02176	-54.07183437543034	69.6919200797143
96906	16.55798223991147	-14.738512461669128	60.0384	-41.67276702592261	69.73488577048731
96919	19.297066984779203	-10.817364576612208	60.05504	-29.273699676414708	69.77793890337375
96927	14.397244937433474	-16.759518988716412	60.06528	-49.335812076717275	69.80447684398413
96940	17.623834584548813	-13.250031835813143	60.08192	-36.93674472720943	69.84767241614396
96953	20.0165157077003	-9.137952990127877	60.09856	-24.537677377701698	69.89095690899995
96961	15.647339901394526	-15.430259770017694	60.1088	-44.599789778005004	69.91763796671059
96974	18.55699543977364	-11.68629047450988	60.12544	-32.200722428497215	69.96106732070504
96982	13.404936547197527	-17.320729404479714	60.13568	-52.262834828800464	69.9878379923009
96995	16.776263735902052	-14.009117519710422	60.15232	-39.863767479292676	70.03141373744133
97008	19.352317097991214	-10.05902954848016	60.16896	-27.464700129784887	70.07508088413007
97016	14.70831866693986	-16.06640125702542	60.1792	-47.5268125300874	70.10199866581699
97029	17.777382460949756	-12.507018810712513	60.19584	-35.12774518057961	70.1458147380236
97037	12.392082663705763	-17.82313716183218	60.20608	-55.18985758088206	70.17282465667995
97042	20.00568362797913	-8.380326653944211	60.21248	-22.72867783107182	70.1897238031001
97050	15.896112813437052	-14.715216383868853	60.22272	-42.790790231374274	70.21679125615067
97063	18.64503799873952	-10.935358467647957	60.23936	-30.391722881866485	70.26085185435248
97071	13.744247327648926	-16.645761179243653	60.2496	-50.45383528216979	70.28801306333303
97084	16.961226928897645	-13.277691716892548	60.26624	-38.054767932662	70.33222684312626
97097	19.374580229615944	-9.305913164852507	60.28288	-25.655700583154214	70.37653628873291
97105	14.986600863737655	-15.366895431954292	60.29312	-45.71781298345752	70.40385147125284
97118	17.897515338227862	-11.764854162304717	60.30976	-33.31874563394973	70.44831683093722
97126	12.758505399722104	-17.16735681359428	60.32	-53.380858034252185	70.47572848971534
97139	16.11161850959816	-13.996628969561701	60.33664	-40.98179068474445	70.52035149164801
97152	18.69981456730304	-10.188156280214855	60.35328	-28.582723335236608	70.56507296158689
97160	14.051012893948663	-15.962909818190685	60.36352	-48.64483573553912	70.59264310411668
97173	17.11269066859464	-12.545600681330257	60.38016	-36.24576838603133	70.63752508219733
97186	19.363971716403622	-8.55938953000276	60.3968	-23.846701036523598	70.68250732905335
97207	17.984162357068566	-11.024917213847836	60.42368	-31.50974608731906	70.75538456168606
97215	13.092689336310377	-16.502205894257433	60.43392	-51.571858487622364	70.78321724997345
97228	16.293600531976494	-13.27585693621226	60.45056	-39.17279113811452	70.82852828803568
97241	18.721365363779558	-9.446068127844276	60.4672	-26.77372378860673	70.87394262544639
97249	14.324795165765547	-15.273489925529782	60.47744	-46.83583618890924	70.90194157368957
97262	17.230507916289145	-11.814223711285377	60.49408	-34.43676883940145	70.94752434302613
97283	15.443366582211068	-13.954061390356797	60.52096	-42.099813890196174	71.02138070836422
97296	18.03728716708702	-10.288598441577856	60.5376	-29.700746540688385	71.06724035806084
